id,verification_status,owner_id,created_by,customer_id,property_type,category,property_area,area_unit,seeking_address,district_id,municipal_id,province_id,city,layout,rent_amount,stay_period,service_amount,service_charge,family_member_adult,family_member_children,compound,furnished,commode_compulsory,parking_space,car_parking,bike_parking,road_size,road_type,renting_purpose,delete,remarks,tenant_agreement,status,created_at,updated_at,ward_num,map_url,amenities,share_map_url,verification_note
12,pending,3,3,27,HOUSE,COMMERCIAL,,,Srijana Chowk,38,,,,WHOLE_HOUSE,50000,,,,0,0,NO,NO,NO,NO,,,,,official use,1,,,ACTIVE,2024-08-11T07:14:44.000Z,2024-08-11T07:14:44.000Z,,,,,
13,pending,3,3,28,ROOM,COMMERCIAL,,,Zero/Baglung buspark,38,,,,3R,14000,,,,1,1,NO,NO,NO,NO,,,,,hotel,1,,,ACTIVE,2024-08-11T07:32:10.000Z,2024-08-11T07:32:10.000Z,,,,,
14,pending,3,3,29,HOTEL,TOURISM,,,Khahare to Hallanchowk,38,,,,15R,200000,,,,,,YES,NO,NO,YES,,,,,hotel,1,,,ACTIVE,2024-08-11T07:39:44.000Z,2024-08-11T07:39:44.000Z,,,,,
15,pending,3,3,45,FLAT,RESIDENTIAL,,,Birauta /Amarsingh/Rannipauwa/Chauthe,38,,,,2BHK,15000,,,,2,2,NO,NO,NO,YES,,1,,,rent,1,,,ACTIVE,2024-08-12T06:58:43.000Z,2024-08-12T06:58:43.000Z,,,,,
16,pending,3,3,61,FLAT,RESIDENTIAL,,,Newroad /Malepatan /Parsyang /Nayabajar,38,,,,1R,25000,,,,5,0,NO,NO,NO,NO,,,,,whole house vayeni huni/ 20-25 k  samma ko,1,,,ACTIVE,2024-08-14T10:00:41.000Z,2024-08-14T10:00:41.000Z,,,,,
17,pending,3,3,62,FLAT,RESIDENTIAL,,,Ranipauwa Aalumaila chowk /Parsyang,38,,,,2BHK,14000,,,,0,0,NO,NO,NO,NO,,,,,self,1,,,ACTIVE,2024-08-14T10:02:06.000Z,2024-08-14T10:02:06.000Z,,,,,
18,pending,3,3,63,ROOM,RESIDENTIAL,,,Ratna Chowk /Simalchaur,38,,,,2R,15000,,,,0,0,YES,NO,NO,YES,,,,,l,1,,,ACTIVE,2024-08-14T10:03:29.000Z,2024-08-14T10:03:29.000Z,,,,,
19,pending,3,3,64,FLAT,RESIDENTIAL,,,Puranodharachowk/fulbari/ntc oripari,38,,,,1R,12500,,,,0,0,NO,NO,NO,NO,,,,,t,1,,,ACTIVE,2024-08-14T10:05:51.000Z,2024-08-14T10:05:51.000Z,,,,,
20,pending,3,3,65,FLAT,RESIDENTIAL,,,Mahendra pul najik,38,,,,2BHK,20000,,,,2,2,YES,NO,NO,NO,,,,,heavy furniture/ sun pasal,1,,,ACTIVE,2024-08-14T10:08:08.000Z,2024-08-14T10:08:08.000Z,,,,,
21,pending,3,3,66,FLAT,RESIDENTIAL,,,not mentioned,38,,,,1R,0,,,,1,0,NO,NO,NO,NO,,,,,nothing mentioned,1,,,ACTIVE,2024-08-14T10:11:58.000Z,2024-08-14T10:11:58.000Z,,,,,
22,pending,3,3,67,FLAT,RESIDENTIAL,,,aalumailachowk/Nagarpalika/Siddharthachowk,38,,,,1BHK,15,,,,0,0,NO,NO,NO,NO,,,,,g,1,,,ACTIVE,2024-08-14T10:15:11.000Z,2024-08-14T10:15:11.000Z,,,,,
23,pending,3,3,101,FLAT,RESIDENTIAL,,,ghalechowk,38,,,,2BHK,15000,,,,2,2,NO,NO,NO,YES,,,,,d,1,,,ACTIVE,2024-08-15T07:31:31.000Z,2024-08-15T07:31:31.000Z,,,,,
24,pending,3,3,102,ROOM,RESIDENTIAL,,,Fulbari side/soch college,38,,,,1R,6000,,,,2,0,NO,NO,NO,NO,,,,,Around soch college,1,,,ACTIVE,2024-08-15T07:34:15.000Z,2024-08-15T07:34:15.000Z,,,,,
25,pending,3,3,103,ROOM,RESIDENTIAL,,,Fulbari /ranipauwa,38,,,,1R,4500,,,,1,1,NO,NO,NO,NO,,,,,d,1,,,ACTIVE,2024-08-15T07:36:51.000Z,2024-08-15T07:36:51.000Z,,,,,
26,pending,3,3,6,ROOM,RESIDENTIAL,,,Parsyang MAlepatan Fulbari,38,,,,2R,9000,,,,1,1,NO,NO,NO,NO,,,,,RATI 10/11 BAJEY GHAR AAUNE,1,,,ACTIVE,2024-08-15T09:27:41.000Z,2024-08-15T09:27:41.000Z,,,,,
27,pending,3,3,70,FLAT,RESIDENTIAL,,,Near zero km,38,,,,2BHK,15000,,,,2,2,NO,NO,NO,NO,,,,,possible new house,1,,,ACTIVE,2024-08-15T09:29:25.000Z,2024-08-15T09:29:25.000Z,,,,,
28,pending,3,3,67,FLAT,RESIDENTIAL,,,Siddhartha chowk/aalumaila chowk/nagarpalika,38,,,,1BHK,15000,,,,3,1,NO,NO,NO,YES,,1,,,s,1,,,ACTIVE,2024-08-15T09:31:23.000Z,2024-08-15T09:31:23.000Z,,,,,
29,pending,3,3,71,FLAT,RESIDENTIAL,,,newroad nayabajar,38,,,,1R,6000,,,,1,1,NO,NO,NO,NO,,,,,shutter for hotel also if 15-20k,1,,,ACTIVE,2024-08-15T09:33:59.000Z,2024-08-15T09:33:59.000Z,,,,,
30,pending,3,3,72,HOUSE,RESIDENTIAL,,,chauthe to chippledhunga,38,,,,WHOLE_HOUSE,20000,,,,2,2,YES,NO,NO,YES,,,,,5-6 ota ghar vako ghar,1,,,ACTIVE,2024-08-15T09:35:38.000Z,2024-08-15T09:35:38.000Z,,,,,
31,pending,3,3,73,HOUSE,RESIDENTIAL,,,nayabajar newroad  bagaletole jalparode nagarpalika vitra,38,,,,1R,0,,,,2,2,NO,NO,NO,YES,,,,,2 floor house,1,,,ACTIVE,2024-08-15T09:37:48.000Z,2024-08-15T09:37:48.000Z,,,,,
32,pending,3,3,74,HOUSE,RESIDENTIAL,,,Malepatan parsyang,38,,,,WHOLE_HOUSE,0,,,,2,2,NO,NO,NO,YES,,,,,gharbeti navako,1,,,ACTIVE,2024-08-15T09:40:02.000Z,2024-08-15T09:40:02.000Z,,,,,
33,pending,3,3,75,FLAT,RESIDENTIAL,,,Ghalechowk,38,,,,2BHK,15000,,,,2,2,YES,NO,YES,YES,1,,,,aa,1,,,ACTIVE,2024-08-15T09:41:45.000Z,2024-08-15T09:41:45.000Z,,,,,
