id,name,district_id,status,created_at,updated_at
260,Shivaraj,47,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
261,Shuklagandaki,46,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
262,Shuklaphanta,74,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
263,Siddharthanagar,49,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
264,Siddhicharan,7,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
265,Simraungadh,20,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
266,Siraha,16,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
267,Sitganga,50,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
268,Solu Dudhkunda,10,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
269,Sukhipur,16,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
270,Sunawarshi,6,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
271,Sundar Haraincha,6,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
272,Sundarbazar,39,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
273,Sunwal,48,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
274,Surunga,15,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
275,Suryabinayak,26,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
276,Suryodaya,3,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
277,Swargadwari,54,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
278,Tansen,52,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
279,Tarakeshor,28,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
280,Thaha,35,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
281,Thakurbaba,58,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
